date,open,high,low,close,volume
2023-10-06,150.35,154.63,150.1,154.29,76662558
2023-10-09,155.62,156.26,151.05,152.81,64049648
2023-10-10,152.14,152.51,150.26,150.78,86280543
2023-10-11,150.88,151.92,142.77,144.88,39317032
2023-10-12,144.9,146.72,144.55,146.48,75202147
2023-10-13,146.97,148.48,143.72,144.69,89849451
2023-10-16,144.61,145.7,143.99,145.26,56680824
2023-10-17,144.9,145.12,140.06,141.44,36431796
2023-10-18,141.55,143.64,140.72,143.24,80521667
2023-10-19,143.49,145.59,142.71,145.47,91362856
2023-10-20,145.31,147.08,145.25,146.27,90587945
2023-10-23,145.53,147.26,145.18,146.73,74201884
2023-10-24,144.56,146.79,144.43,146.16,81916607
2023-10-25,146.32,146.59,145.14,145.33,60481459
2023-10-26,147.04,148.27,144.28,145.89,50766382
2023-10-27,145.84,145.88,141.73,143.03,49620647
2023-10-30,143.32,144.61,142.14,142.94,51561051
2023-10-31,143.3,145.13,142.91,144.29,42929603
2023-11-01,145.51,145.54,142.21,142.8,68823217
2023-11-02,143.32,144.32,142.28,143.22,35823159
2023-11-03,143.87,145.21,143.07,143.12,41078521
2023-11-06,142.86,147.75,142.82,147.43,59443218
2023-11-07,146.33,147.85,145.68,147.3,82749077
2023-11-08,147.25,148.46,146.64,148.12,38904551
2023-11-09,147.09,148.21,146.02,147.96,36439269
2023-11-10,148.71,152.04,147.84,151.34,46841298
2023-11-13,151.62,154.43,149.56,150.01,89546726
2023-11-14,149.61,154.78,147.54,154.3,66692845
2023-11-15,155.28,158.28,154.09,157.2,35470673
2023-11-16,156.24,161.52,155.02,161.18,44212506
2023-11-17,162.14,167.33,161.81,165.81,66533322
2023-11-20,166.0,166.63,161.56,163.12,88018516
2023-11-21,162.65,168.14,162.33,166.18,55752316
2023-11-22,167.75,170.52,167.42,170.41,68827535
2023-11-23,169.55,170.73,168.93,169.15,77321266
2023-11-24,169.07,170.51,166.7,167.34,65164904
2023-11-27,166.82,168.23,163.14,163.86,84046992
2023-11-28,162.64,167.07,162.39,166.97,73628617
2023-11-29,167.51,172.35,167.13,171.37,41307810
2023-11-30,170.99,173.38,170.65,172.05,76145678
2023-12-01,172.13,172.27,168.17,168.69,55612217
2023-12-04,170.07,170.89,163.76,164.12,47020339
2023-12-05,164.45,165.55,163.72,165.19,91292936
2023-12-06,165.57,166.14,164.98,165.72,35404626
2023-12-07,164.89,166.44,164.34,165.04,38266794
2023-12-08,164.31,165.11,163.9,164.64,46345659
2023-12-11,163.9,165.25,163.55,164.92,60274796
2023-12-12,164.13,168.44,162.46,168.05,74576168
2023-12-13,168.69,169.59,166.38,166.83,77914943
2023-12-14,166.15,169.02,165.21,168.95,77415702
2023-12-15,168.78,174.02,168.57,172.03,52799294
2023-12-18,172.5,173.69,170.07,170.33,91767982
2023-12-19,171.48,173.49,169.01,169.04,40216569
2023-12-20,169.02,170.36,167.99,170.08,52475691
2023-12-21,169.59,170.09,165.35,166.32,52175489
2023-12-22,164.92,170.78,164.26,168.5,92622294
2023-12-25,169.54,170.6,167.74,167.95,57487926
2023-12-26,167.64,169.54,166.6,166.66,91726521
2023-12-27,167.56,170.84,166.66,169.2,75725037
2023-12-28,169.53,174.18,167.43,173.76,45262817
2023-12-29,173.53,175.36,172.97,174.28,54712460
2024-01-01,174.66,175.0,172.7,173.33,51702295
2024-01-02,173.25,173.87,168.99,169.95,91061772
2024-01-03,170.13,170.95,169.96,170.61,63415585
2024-01-04,171.47,171.88,170.36,170.46,52584671
2024-01-05,171.64,173.26,168.3,168.82,36294222
2024-01-08,168.41,170.87,167.95,168.15,62524945
2024-01-09,168.25,168.45,166.6,166.98,70926392
2024-01-10,167.06,170.68,166.92,170.46,67509161
2024-01-11,169.73,173.86,168.79,172.55,75487699
2024-01-12,172.34,176.02,171.7,174.88,86659246
2024-01-15,175.49,176.12,174.68,175.98,60563040
2024-01-16,176.34,181.27,175.86,180.29,38414492
2024-01-17,180.98,181.58,175.21,175.75,54643042
2024-01-18,175.3,175.67,171.66,172.44,78650892
2024-01-19,172.48,172.51,170.28,170.63,62612275
2024-01-22,170.32,170.61,167.03,167.63,91756424
2024-01-23,169.32,169.91,164.47,165.27,51752701
2024-01-24,166.82,167.52,162.3,162.71,79300781
2024-01-25,163.28,163.51,162.14,162.47,53690052
2024-01-26,162.74,167.41,161.14,165.15,64185828
2024-01-29,163.91,165.15,160.89,162.38,81156160
2024-01-30,163.97,164.89,162.98,163.3,72248918
2024-01-31,163.69,163.81,160.44,161.49,39437654
2024-02-01,161.52,164.04,160.9,163.47,40040621
2024-02-02,163.97,165.54,162.98,163.67,54688453
2024-02-05,165.0,165.64,162.83,163.9,58289481
2024-02-06,163.24,166.22,162.21,166.2,61501881
2024-02-07,166.08,166.51,165.98,166.49,70540221
2024-02-08,164.31,169.76,163.31,169.62,90071149
2024-02-09,170.48,171.21,167.34,167.79,38237168
2024-02-12,168.14,170.97,167.89,169.32,62580298
2024-02-13,168.82,173.66,168.1,173.36,80583754
2024-02-14,172.66,173.88,172.04,173.56,53313012
2024-02-15,174.78,175.15,169.11,169.4,55750745
2024-02-16,168.26,173.93,167.61,173.55,84968870
2024-02-19,174.19,175.83,170.09,172.02,46971464
2024-02-20,173.06,174.91,169.75,170.56,89290715
2024-02-21,171.11,171.49,168.88,169.28,69912458
2024-02-22,168.75,170.8,168.61,169.09,66396877
2024-02-23,169.73,170.13,165.29,166.95,83571427
2024-02-26,167.24,169.5,166.7,168.82,54877929
2024-02-27,168.92,169.12,166.52,167.49,71694156
2024-02-28,167.15,167.8,166.03,167.47,84890511
2024-02-29,167.61,170.22,165.8,165.81,39351150
2024-03-01,166.63,168.65,166.46,168.58,84236389
2024-03-04,168.4,168.91,167.56,168.42,75494421
2024-03-05,168.37,169.1,167.13,167.56,74268935
2024-03-06,167.79,170.54,166.42,169.93,57299721
2024-03-07,171.29,171.53,166.49,167.21,66611777
