date,open,high,low,close,volume
2023-10-06,328.44,332.18,325.06,331.0,18809210
2023-10-09,329.93,335.17,327.57,333.75,37496028
2023-10-10,334.83,339.66,328.51,329.86,36242811
2023-10-11,330.86,336.67,329.82,335.59,31422788
2023-10-12,336.03,336.42,335.36,335.67,23080066
2023-10-13,334.71,339.52,331.37,335.41,31023992
2023-10-16,332.62,336.5,332.28,334.47,32932374
2023-10-17,334.31,341.21,334.02,340.55,32503868
2023-10-18,342.97,344.91,338.15,340.04,22158846
2023-10-19,340.01,347.42,335.28,345.48,21833441
2023-10-20,341.81,346.76,339.77,345.58,37497130
2023-10-23,347.1,348.96,338.86,341.25,36941691
2023-10-24,340.5,349.35,337.61,347.61,25958693
2023-10-25,347.57,354.32,346.43,354.12,36787564
2023-10-26,352.91,357.28,352.16,353.22,36638172
2023-10-27,350.54,360.88,349.55,359.61,37660054
2023-10-30,359.07,362.79,354.83,362.19,14872667
2023-10-31,361.59,365.64,352.35,355.46,18598883
2023-11-01,353.2,361.05,351.99,359.55,21486267
2023-11-02,358.85,359.99,350.23,352.19,30366123
2023-11-03,352.59,356.77,352.42,353.73,15712012
2023-11-06,352.78,353.4,344.89,346.2,30545285
2023-11-07,345.42,352.78,343.01,351.66,27730611
2023-11-08,351.64,360.5,349.15,359.45,15734646
2023-11-09,358.99,364.63,357.18,362.16,26127314
2023-11-10,363.04,365.24,352.35,355.92,18366861
2023-11-13,355.81,355.84,349.64,350.4,20414894
2023-11-14,350.1,361.65,348.79,359.9,24933774
2023-11-15,361.28,365.16,357.57,359.47,33782326
2023-11-16,360.04,363.8,358.5,358.84,16840499
2023-11-17,360.32,360.93,355.38,358.59,35481779
2023-11-20,359.32,367.03,358.01,365.7,24981053
2023-11-21,366.07,366.65,364.47,365.05,30751093
2023-11-22,366.99,370.21,365.8,365.81,26226226
2023-11-23,364.62,367.45,363.42,365.53,27862511
2023-11-24,365.8,367.57,362.97,364.58,27741654
2023-11-27,365.66,366.29,363.25,364.35,37333441
2023-11-28,362.05,362.54,354.4,355.23,28055399
2023-11-29,354.79,359.86,354.55,359.8,16150843
2023-11-30,359.3,361.95,356.15,357.25,22559004
2023-12-01,357.06,358.72,348.96,354.1,20861974
2023-12-04,355.32,364.97,354.17,363.9,22943620
2023-12-05,364.03,366.36,360.56,362.06,22819395
2023-12-06,361.66,364.46,355.9,356.67,38251687
2023-12-07,355.51,363.11,353.9,361.82,24636941
2023-12-08,362.1,364.34,356.17,357.98,25020156
