date,open,high,low,close,volume
2023-10-06,273.97,291.48,269.22,288.88,53437060
2023-10-09,287.22,291.85,274.97,282.28,53637372
2023-10-10,282.39,282.54,281.78,281.94,42598591
2023-10-11,280.41,289.15,277.68,287.89,51584447
2023-10-12,282.66,288.78,278.53,283.74,44257305
2023-10-13,280.45,282.98,274.98,282.95,28821237
2023-10-16,285.06,286.59,274.58,277.39,39312287
2023-10-17,277.5,281.57,264.6,264.72,31455507
2023-10-18,262.59,272.55,255.27,271.65,53461735
2023-10-19,269.7,275.78,264.01,272.65,39797014
2023-10-20,272.49,274.55,261.52,264.85,32316931
2023-10-23,265.82,286.55,262.43,283.34,39073895
2023-10-24,281.73,281.81,274.74,276.45,28392643
2023-10-25,272.59,286.1,268.2,280.75,54781441
2023-10-26,276.84,284.68,273.8,274.73,38539804
2023-10-27,274.95,277.39,269.88,273.19,29583048
2023-10-30,276.09,278.3,274.62,275.72,60004821
2023-10-31,274.53,283.5,273.54,280.98,63686411
2023-11-01,281.88,287.15,273.23,275.99,34909761
2023-11-02,275.51,280.55,270.08,279.94,49275916
2023-11-03,277.94,285.46,277.06,284.48,50154711
2023-11-06,284.64,285.97,276.53,278.52,53910790
2023-11-07,276.74,276.86,268.95,271.37,51231035
2023-11-08,268.14,273.68,263.8,272.88,56716508
2023-11-09,270.73,281.92,269.26,278.17,31958626
2023-11-10,282.18,283.57,265.1,272.48,39819209
2023-11-13,278.88,279.38,261.92,264.66,31700553
2023-11-14,263.92,270.09,257.63,267.27,45958386
2023-11-15,272.63,273.78,263.51,267.08,53032242
2023-11-16,268.79,274.7,265.84,271.32,62385095
2023-11-17,274.89,277.27,263.02,269.36,51744545
2023-11-20,265.32,276.58,264.59,276.11,62496596
2023-11-21,279.52,289.86,276.68,289.54,37139443
2023-11-22,289.05,299.17,287.01,298.05,53901102
2023-11-23,302.78,313.01,300.94,310.11,40614160
2023-11-24,306.47,326.47,299.47,324.86,34222975
2023-11-27,321.9,328.09,318.02,327.44,32627091
2023-11-28,329.53,335.8,314.86,318.66,65115800
2023-11-29,317.22,323.15,316.55,322.15,59471251
2023-11-30,324.23,327.65,319.95,323.34,44772721
2023-12-01,321.64,322.14,310.22,310.49,48814938
2023-12-04,311.11,314.25,299.0,302.01,57692935
2023-12-05,304.06,308.42,300.21,305.79,30118185
2023-12-06,306.85,307.07,287.86,295.7,34117318
2023-12-07,295.84,309.54,295.83,303.77,38053605
2023-12-08,302.48,307.53,300.55,307.51,59781766
2023-12-11,304.76,307.3,299.71,299.73,64667634
2023-12-12,297.47,298.5,293.12,293.97,63407359
2023-12-13,291.9,293.57,284.23,288.48,26589791
2023-12-14,290.02,293.21,269.06,272.43,42684358
2023-12-15,273.28,275.52,271.65,272.59,53105421
2023-12-18,270.48,272.96,255.05,259.24,35843685
2023-12-19,260.97,270.28,256.14,268.62,54517257
2023-12-20,268.55,269.82,257.55,261.03,30103497
2023-12-21,261.67,269.19,259.09,268.39,48784374
2023-12-22,266.65,280.31,265.73,277.86,39808993
2023-12-25,282.22,282.33,273.07,275.19,46654968
2023-12-26,276.86,279.15,264.92,266.18,58302700
2023-12-27,265.25,266.99,259.92,261.54,40470475
2023-12-28,260.19,260.59,250.91,260.29,45871230
2023-12-29,262.77,266.35,257.53,259.87,59957934
2024-01-01,258.85,277.47,257.23,273.31,31700446
2024-01-02,268.11,283.59,267.9,280.32,33398913
2024-01-03,282.96,297.97,279.95,294.62,56094114
2024-01-04,296.95,307.15,295.72,306.12,36850173
2024-01-05,304.33,328.07,303.13,318.24,33984850
2024-01-08,317.72,319.68,314.69,319.25,53421264
2024-01-09,322.82,328.83,308.6,311.89,63325457
2024-01-10,317.64,326.04,315.22,321.93,38014253
2024-01-11,326.61,336.77,325.92,331.05,44527657
2024-01-12,336.41,336.55,325.19,327.67,47987929
2024-01-15,322.24,329.53,319.63,329.13,43237605
2024-01-16,330.03,333.57,312.11,320.05,43070648
2024-01-17,316.62,322.73,312.27,313.45,55404911
2024-01-18,315.24,316.2,312.2,313.44,64665684
2024-01-19,315.64,319.85,311.04,318.72,27392333
2024-01-22,314.45,318.81,313.8,316.23,26941068
2024-01-23,319.2,333.27,316.01,327.62,60592000
2024-01-24,324.66,353.32,322.86,347.66,65015773
2024-01-25,351.19,353.66,343.86,352.1,41260124
2024-01-26,349.7,356.87,343.82,348.52,39876427
2024-01-29,349.04,353.68,326.03,332.34,53658561
2024-01-30,330.38,345.59,328.69,344.15,45986911
2024-01-31,340.25,345.48,336.19,345.33,47138337
2024-02-01,347.96,349.59,341.2,341.98,33685897
2024-02-02,342.56,346.58,331.83,334.78,35879130
2024-02-05,339.35,343.95,338.26,340.58,50547001
2024-02-06,343.61,354.37,341.89,346.84,63101164
2024-02-07,345.04,347.34,331.99,336.47,65435142
2024-02-08,341.47,352.39,338.74,351.12,36717453
2024-02-09,356.73,362.75,340.69,343.56,35400995
2024-02-12,348.58,357.96,347.16,348.14,45324512
2024-02-13,347.45,365.6,345.04,361.67,51221359
2024-02-14,359.54,373.24,352.59,367.38,58057817
2024-02-15,369.39,372.42,362.27,362.4,29849577
2024-02-16,363.69,364.56,357.11,363.94,48329831
2024-02-19,354.19,358.2,352.3,352.81,58254414
2024-02-20,355.49,364.54,343.66,348.33,56976053
2024-02-21,348.71,356.15,342.65,342.98,45401357
2024-02-22,347.67,348.76,326.45,329.97,45314450
2024-02-23,327.84,340.29,327.11,336.79,60175400
2024-02-26,331.22,336.33,327.88,332.91,48463793
2024-02-27,333.58,338.69,328.35,334.57,34737077
2024-02-28,332.73,338.74,317.39,317.59,55471505
2024-02-29,310.94,313.18,289.38,292.13,60739189
2024-03-01,296.79,302.37,288.39,288.61,61737769
2024-03-04,285.49,291.0,283.73,289.61,49121787
2024-03-05,289.84,301.03,287.58,299.39,38475413
2024-03-06,299.0,302.46,298.83,299.92,61163120
2024-03-07,296.16,301.37,289.83,300.97,50929711
2024-03-08,295.52,312.8,291.99,307.87,31719695
2024-03-11,306.2,308.98,302.96,305.94,60866527
2024-03-12,303.37,305.56,294.62,296.75,55411887
2024-03-13,296.92,297.11,294.25,294.25,28775824
2024-03-14,293.26,297.09,287.2,287.42,34857784
2024-03-15,291.37,293.99,290.34,291.85,62554751
2024-03-18,290.67,302.88,289.12,299.37,62871635
2024-03-19,300.16,306.8,291.94,295.03,58928301
2024-03-20,297.44,303.29,287.21,292.88,56545259
2024-03-21,290.23,296.27,286.64,293.61,56048142
2024-03-22,292.85,300.11,286.25,299.64,30951272
2024-03-25,304.12,308.67,295.48,298.13,39404433
2024-03-26,298.19,303.48,291.63,298.67,43849678
2024-03-27,300.08,304.08,292.01,299.81,39558502
