date,open,high,low,close,volume
2023-10-06,431.82,434.7,431.78,433.2,116748789
2023-10-09,432.32,434.62,428.58,429.2,61806702
2023-10-10,427.81,434.3,427.1,433.15,70553533
2023-10-11,431.68,436.64,429.77,435.7,59417233
2023-10-12,436.48,436.62,428.32,429.02,81809480
2023-10-13,426.95,430.53,426.86,429.68,64821817
2023-10-16,427.38,432.13,427.32,431.94,112911235
2023-10-17,430.98,432.81,427.74,429.08,67574215
2023-10-18,429.0,432.65,428.44,428.96,86348601
2023-10-19,428.37,435.19,427.1,432.74,69650437
2023-10-20,431.06,437.58,429.8,436.72,49820883
2023-10-23,434.96,442.17,433.37,440.3,61079611
2023-10-24,441.83,451.11,440.83,449.8,52158822
2023-10-25,450.17,450.59,445.67,448.23,96611182
2023-10-26,449.69,450.18,444.51,447.03,48973985
2023-10-27,446.98,447.63,445.5,447.08,55777901
2023-10-30,443.58,443.79,434.13,436.62,106365227
2023-10-31,437.45,442.8,435.8,441.72,89968592
2023-11-01,441.46,444.06,440.0,443.36,65504394
2023-11-02,445.05,445.66,439.53,441.77,71352967
2023-11-03,441.15,444.05,438.43,443.49,61680602
2023-11-06,442.05,449.97,441.72,446.6,88407085
2023-11-07,449.05,451.22,439.85,441.1,89238743
2023-11-08,444.07,444.48,435.11,436.09,114638785
2023-11-09,435.47,435.92,426.81,427.96,50676042
2023-11-10,427.03,427.29,423.89,424.16,80380692
2023-11-13,425.05,425.87,419.24,422.25,50368561
2023-11-14,419.16,422.66,415.99,416.89,120641499
2023-11-15,416.29,418.07,416.15,417.63,67905697
2023-11-16,417.82,418.64,411.76,412.0,68819423
2023-11-17,410.55,419.24,408.8,417.7,98542525
2023-11-20,416.1,417.45,415.18,416.8,50569642
2023-11-21,415.69,417.73,414.24,414.32,75067236
2023-11-22,414.97,415.68,414.19,414.71,81032628
2023-11-23,417.02,419.67,416.72,418.27,46442346
2023-11-24,417.8,420.11,416.03,416.47,89920416
2023-11-27,417.02,417.37,413.49,414.47,48377893
2023-11-28,416.47,420.68,413.74,419.34,102840834
2023-11-29,419.78,421.53,413.21,414.76,96201556
2023-11-30,415.71,419.93,413.02,419.81,70184129
2023-12-01,421.35,422.17,415.09,416.29,118278829
2023-12-04,416.88,417.64,412.79,412.88,67225239
2023-12-05,412.47,414.32,410.87,412.0,110441554
2023-12-06,411.61,413.03,410.36,412.55,86192969
2023-12-07,413.02,414.04,410.69,410.79,96214985
2023-12-08,411.24,416.75,408.63,415.47,94053596
2023-12-11,416.91,419.06,414.22,414.58,60335768
2023-12-12,414.89,420.91,414.15,420.32,83609416
2023-12-13,420.87,429.11,420.77,427.91,56530906
2023-12-14,428.2,430.82,426.12,428.94,84741233
2023-12-15,428.32,435.17,428.29,434.26,110166725
2023-12-18,434.92,436.82,429.56,429.63,80973605
2023-12-19,427.45,427.56,424.37,426.83,65963044
2023-12-20,425.37,427.04,423.15,423.16,75353449
2023-12-21,422.75,424.56,420.57,422.48,79609827
2023-12-22,422.15,422.38,416.24,417.84,91406486
2023-12-25,416.24,417.08,415.64,416.69,74403118
2023-12-26,415.55,417.82,415.49,416.43,72751158
2023-12-27,417.08,422.04,416.49,421.32,87032621
2023-12-28,421.87,424.28,417.96,419.02,94634063
2023-12-29,418.84,422.39,417.54,420.72,119631570
2024-01-01,421.01,428.15,420.54,425.1,91672683
2024-01-02,425.58,427.22,421.53,422.42,86163152
2024-01-03,421.71,426.19,421.22,425.88,101722265
2024-01-04,425.08,427.65,424.99,425.99,71897932
2024-01-05,428.05,431.26,422.42,423.35,92142548
2024-01-08,423.11,429.18,422.46,428.77,104405045
2024-01-09,429.51,433.56,427.41,428.54,62803183
2024-01-10,427.57,429.84,420.51,423.15,48590467
2024-01-11,423.26,423.87,422.92,422.94,59930925
2024-01-12,422.76,426.7,420.72,423.78,63708261
2024-01-15,423.84,430.02,423.76,429.72,52824185
2024-01-16,428.96,430.26,420.94,422.19,88829590
2024-01-17,424.69,425.45,422.02,422.31,112771570
2024-01-18,421.79,422.5,420.58,421.76,47679070
2024-01-19,422.56,424.37,418.33,421.19,101042820
2024-01-22,421.47,425.56,416.77,422.8,52034677
2024-01-23,422.35,425.27,419.08,424.57,84864434
2024-01-24,424.56,425.74,422.65,424.74,97536858
2024-01-25,426.36,429.0,412.51,414.71,56602935
2024-01-26,415.91,417.17,406.91,408.93,76960204
2024-01-29,410.29,411.2,407.84,408.58,93942434
2024-01-30,408.73,409.77,408.18,408.31,86874987
2024-01-31,409.06,413.37,406.4,411.62,96447364
2024-02-01,412.7,417.38,411.81,415.03,84525633
